Number Attribute Specialty Credit CreditGroup Term      
40641503 2 4 3 2 1,2,3,4
00640192 2 4 2 3 1,2
00640272 2 4 2 3 1,2
00640312 2 4 2 3 1,2
00640562 2 4 2 3 1,2
00640862 2 4 2 3 1,2
00640962 2 4 2 3 1,2
00640972 2 4 2 3 1,2
00641382 2 4 2 3 1,2
00641442 2 4 2 3 1,2
00641452 2 4 2 3 1,2
00641502 2 4 2 3 1,2
00641552 2 4 2 3 1,2
00641603 2 4 3 3 1,2
00641632 2 4 2 3 1,2
00641642 2 4 2 3 1,2
00641662 2 4 2 3 1,2
00641672 2 4 2 3 1,2
00641682 2 4 2 3 1,2
00641713 2 4 3 3 1,2
00641731 2 4 1 3 1,2
00641752 2 4 2 3 1,2
00641793 2 4 3 3 1,2
00641803 2 4 3 3 1,2
00641813 2 4 3 3 1,2
00641842 2 4 2 3 1,2
00641852 2 4 2 3 1,2
00641862 2 4 2 3 1,2
00641883 2 4 3 3 1,2
00641892 2 4 2 3 1,2
00641903 2 4 3 3 1,2
10640352 2 4 2 3 1,2
10640532 2 4 2 3 1,2
10640682 2 4 2 3 1,2
10640982 2 4 2 3 1,2
10641042 2 4 2 3 1,2
10641082 2 4 2 3 1,2
10641092 2 4 2 3 1,2
10641132 2 4 2 3 1,2
10641142 2 4 2 3 1,2
10641354 2 4 4 3 1,2
10641482 2 4 2 3 1,2
10641492 2 4 2 3 1,2
10641502 2 4 2 3 1,2
10641512 2 4 2 3 1,2
30640032 2 4 2 3 1,2
30640102 2 4 2 3 1,2
30640112 2 4 2 3 1,2
30640122 2 4 2 3 1,2
30640132 2 4 2 3 1,2
30640162 2 4 2 3 1,2
30640182 2 4 2 3 1,2
30640192 2 4 2 3 1,2
30640262 2 4 2 3 1,2
30640294 2 4 4 3 1,2
30640304 2 4 4 3 1,2
30640312 2 4 2 3 1,2
30641082 2 4 2 3 1,2
30641122 2 4 2 3 1,2
30641182 2 4 2 3 1,2
30641222 2 4 2 3 1,2
30641252 2 4 2 3 1,2
30641312 2 4 2 3 1,2
30641322 2 4 2 3 1,2
30641484 2 4 4 3 1,2
30641494 2 4 4 3 1,2
30641514 2 4 4 3 1,2
30641524 2 4 4 3 1,2
30641534 2 4 4 3 1,2
30641544 2 4 4 3 1,2
30641572 2 4 2 3 1,2
30641582 2 4 2 3 1,2
30641592 2 4 2 3 1,2
30641634 2 4 4 3 1,2
30641652 2 4 2 3 1,2
30641662 2 4 2 3 1,2
30641684 2 4 4 3 1,2
